Scenario,HL_hrs,kappa,sigma_ss,eht_hrs,hit_rate,mae
1 hr (GENIUS full),1.0,0.011552453009332421,99.25283239854657,1.44,84.03032632381901,347.1559901942945
2 hr,2.0,0.0057762265046662105,139.96106480022564,2.88,88.6371619759181,515.8656108095324
4 hr,4.0,0.0028881132523331052,197.6496253681967,5.76,91.94002998708324,764.0742936369409
6 hr,6.0,0.001925408834888737,241.95396537113484,8.639999999999999,93.41216112791668,959.9937404047316
8 hr,8.0,0.0014440566261665526,279.3171787773226,11.52,94.29177042540387,1128.0254336849855
10 hr (actual crisis),10.045,0.001150069985996259,312.94197066914705,14.4648,94.90421984647621,1281.1079775912417
